id,producto,cantidad,precio,fecha
2450,Teléfono,9,716.79,2023-09-13
2451,Laptop,4,1274.6,2023-12-15
2452,Teléfono,12,744.36,2023-11-17
2453,Teléfono,16,448.92,2023-09-13
2454,Tablet,1,468.93,2023-07-30
2455,Laptop,15,1158.33,2023-02-20
2456,Teclado,2,19.77,2023-08-07
2457,Tablet,9,308.01,2023-08-09
2458,Laptop,2,1315.08,2023-05-21
2459,Mouse,5,13.49,2023-10-14
2460,Monitor,2,324.01,2023-01-22
2461,Mouse,7,13.28,2023-02-19
2462,Teclado,20,16.48,2023-05-11
2463,Tablet,5,383.16,2023-11-23
2464,Laptop,4,1297.79,2023-05-22
2465,Mouse,4,23.95,2023-05-11
2466,Teléfono,10,452.12,2023-04-20
2467,Teléfono,9,282.38,2023-12-06
2468,Laptop,11,1142.68,2023-12-21
2469,Tablet,5,209.72,2023-02-24
2470,Monitor,16,121.29,2023-07-06
2471,Teléfono,19,758.08,2023-02-05
2472,Mouse,5,12.35,2023-09-25
2473,Impresora,1,163.81,2023-11-04
2474,Monitor,9,199.94,2023-02-17
2475,Impresora,11,112.46,2023-04-19
2476,Teclado,10,42.66,2023-02-20
2477,Teclado,18,47.39,2023-04-30
2478,Impresora,10,187.36,2023-07-14
2479,Tablet,2,453.64,2023-08-31
2480,Tablet,12,298.64,2023-05-15
2481,Monitor,16,329.34,2023-07-20
2482,Teclado,17,34.64,2023-10-13
2483,Laptop,11,1287.45,2023-08-03
2484,Teléfono,4,326.71,2023-04-29
2485,Impresora,10,115.29,2023-08-16
2486,Impresora,13,94.87,2023-05-29
2487,Teclado,7,38.52,2023-12-19
2488,Teléfono,10,660.75,2023-05-05
2489,Monitor,5,157.27,2023-07-08
2490,Laptop,1,927.03,2023-12-26
2491,Tablet,6,256.58,2023-05-20
2492,Monitor,13,119.39,2023-05-25
2493,Teclado,15,45.46,2023-03-07
2494,Monitor,8,232.18,2023-07-02
2495,Laptop,17,1037.93,2023-07-26
2496,Teléfono,8,516.44,2023-02-03
2497,Laptop,7,1382.47,2023-01-19
2498,Monitor,20,299.3,2023-06-14
2499,Tablet,13,243.07,2023-12-30
2500,Tablet,2,191.27,2023-11-03
2501,Tablet,9,269.88,2023-08-13
2502,Teléfono,5,540.34,2023-08-24
2503,Mouse,19,18.14,2023-06-01
2504,Teléfono,9,584.7,2023-03-04
2505,Teclado,14,36.65,2023-06-29
2506,Tablet,5,284.81,2023-06-22
2507,Mouse,19,11.26,2023-07-08
2508,Teléfono,12,293.59,2023-02-08
2509,Monitor,16,300.74,2023-12-18
2510,Monitor,16,116.77,2023-09-12
2511,Monitor,4,296.42,2023-11-24
2512,Teléfono,9,374.16,2023-10-16
2513,Teléfono,11,211.44,2023-11-29
2514,Impresora,2,173.39,2023-12-21
2515,Laptop,6,1369.12,2023-03-20
2516,Laptop,3,1489.97,2023-11-16
2517,Impresora,16,145.97,2023-05-11
2518,Laptop,3,844.14,2023-07-26
2519,Teléfono,2,254.62,2023-11-01
2520,Impresora,2,174.27,2023-08-24
2521,Teléfono,13,298.15,2023-06-14
2522,Monitor,12,383.87,2023-06-03
2523,Monitor,3,105.67,2023-06-20
2524,Tablet,12,307.43,2023-03-14
2525,Laptop,16,1079.92,2023-10-02
2526,Tablet,9,375.43,2023-08-28
2527,Tablet,8,293.68,2023-02-02
2528,Teclado,1,31.76,2023-06-06
2529,Impresora,6,198.52,2023-03-26
2530,Monitor,4,100.41,2023-11-29
2531,Teléfono,2,729.02,2023-04-29
2532,Monitor,3,192.25,2023-09-18
2533,Teléfono,16,624.07,2023-05-14
2534,Mouse,20,17.77,2023-10-19
2535,Teléfono,17,515.18,2023-01-23
2536,Impresora,9,214.68,2023-03-20
2537,Teclado,15,24.38,2023-12-24
2538,Tablet,9,184.55,2023-10-24
2539,Mouse,13,16.89,2023-12-03
2540,Monitor,15,230.68,2023-07-04
2541,Teléfono,3,795.79,2023-07-11
2542,Monitor,6,299.01,2023-06-03
2543,Impresora,14,84.09,2023-10-21
2544,Mouse,1,29.77,2023-10-08
2545,Impresora,12,171.71,2023-11-25
2546,Monitor,6,109.51,2023-01-31
2547,Teclado,13,19.75,2023-08-20
2548,Teléfono,8,441.54,2023-08-22
2549,Teléfono,3,450.47,2023-02-05
2550,Laptop,1,917.91,2023-02-05
2551,Teléfono,20,638.04,2023-04-17
2552,Mouse,20,27.46,2023-10-09
2553,Laptop,8,1132.4,2023-08-19
2554,Teléfono,13,697.73,2023-11-21
2555,Laptop,11,1466.44,2023-10-14
2556,Teclado,1,36.07,2023-04-23
2557,Tablet,19,447.75,2023-08-19
2558,Tablet,8,253.28,2023-10-09
2559,Impresora,7,164.94,2023-05-23
2560,Laptop,14,1341.29,2023-12-07
2561,Laptop,12,734.89,2023-01-19
2562,Laptop,8,1446.77,2023-09-24
2563,Impresora,5,176.71,2023-06-09
2564,Laptop,9,1207.93,2023-06-18
2565,Teléfono,12,344.72,2023-12-27
2566,Monitor,19,374.37,2023-08-22
2567,Tablet,19,225.02,2023-09-20
2568,Teclado,13,43.7,2023-01-10
2569,Tablet,2,167.12,2023-03-13
2570,Impresora,18,144.85,2023-09-21
2571,Teléfono,16,462.34,2023-11-08
2572,Monitor,7,306.77,2023-04-07
2573,Monitor,17,385.73,2023-04-14
2574,Impresora,14,84.97,2023-09-15
2575,Tablet,8,162.17,2023-09-06
2576,Laptop,19,963.61,2023-05-14
2577,Tablet,1,251.94,2023-03-05
2578,Tablet,16,221.66,2023-11-27
2579,Monitor,8,340.56,2023-08-31
2580,Teléfono,10,316.98,2023-10-21
2581,Tablet,16,248.21,2023-11-12
2582,Monitor,19,361.06,2023-01-29
2583,Teléfono,7,557.86,2023-07-20
2584,Impresora,3,202.34,2023-06-26
2585,Impresora,20,153.69,2023-12-04
2586,Teléfono,3,340.92,2023-12-29
2587,Mouse,16,16.69,2023-01-04
2588,Impresora,8,121.57,2023-05-18
2589,Monitor,12,106.08,2023-04-27
2590,Mouse,19,27.0,2023-07-04
2591,Monitor,5,239.55,2023-12-08
2592,Laptop,16,1404.99,2023-06-20
2593,Impresora,1,112.2,2023-10-30
2594,Impresora,6,169.83,2023-05-28
2595,Teclado,2,17.66,2023-11-25
2596,Tablet,10,258.39,2023-10-05
2597,Teléfono,9,792.17,2023-05-20
2598,Teclado,10,37.88,2023-07-09
2599,Impresora,4,129.53,2023-12-16
2600,Teclado,4,15.23,2023-01-04
2601,Tablet,13,323.87,2023-08-23
2602,Teléfono,12,235.53,2023-05-26
2603,Impresora,13,118.31,2023-11-03
2604,Laptop,12,1289.55,2023-10-08
2605,Teléfono,5,563.86,2023-09-22
2606,Mouse,3,26.2,2023-12-17
2607,Mouse,18,25.04,2023-12-04
2608,Tablet,18,254.03,2023-09-28
2609,Monitor,6,224.13,2023-10-13
2610,Teléfono,15,776.39,2023-02-20
2611,Laptop,10,991.29,2023-05-31
2612,Laptop,18,1258.92,2023-01-06
2613,Monitor,9,242.82,2023-08-06
2614,Teclado,17,39.01,2023-08-26
2615,Teclado,19,47.95,2023-12-24
2616,Mouse,9,11.13,2023-01-18
2617,Teclado,7,43.58,2023-10-03
2618,Impresora,11,161.14,2023-07-06
2619,Impresora,14,125.39,2023-03-23
2620,Tablet,19,402.89,2023-03-30
2621,Monitor,6,101.11,2023-09-09
2622,Impresora,6,128.65,2023-01-30
2623,Tablet,7,496.99,2023-07-30
2624,Laptop,5,733.52,2023-11-04
2625,Tablet,6,294.22,2023-03-24
2626,Teléfono,15,378.11,2023-07-07
2627,Teléfono,11,534.28,2023-09-15
2628,Monitor,19,114.07,2023-09-17
2629,Mouse,14,11.98,2023-12-27
2630,Impresora,10,106.09,2023-04-17
2631,Monitor,5,112.92,2023-04-25
2632,Teclado,13,42.09,2023-07-14
2633,Tablet,13,466.42,2023-04-24
2634,Teclado,4,41.23,2023-10-15
2635,Mouse,7,26.28,2023-02-11
2636,Monitor,8,127.22,2023-02-01
2637,Impresora,8,128.53,2023-01-05
2638,Monitor,15,358.15,2023-07-19
2639,Monitor,18,314.66,2023-10-19
2640,Laptop,12,1009.0,2023-02-27
2641,Teclado,19,35.07,2023-03-30
2642,Monitor,14,325.68,2023-12-25
2643,Monitor,17,159.31,2023-04-10
2644,Tablet,11,284.29,2023-03-16
2645,Monitor,20,281.44,2023-06-18
2646,Laptop,13,868.74,2023-02-27
2647,Monitor,13,246.84,2023-03-14
2648,Monitor,16,275.21,2023-03-17
2649,Tablet,16,227.87,2023-03-24
2650,Impresora,8,111.17,2023-06-03
2651,Monitor,15,108.34,2023-04-09
2652,Teléfono,6,591.99,2023-01-28
2653,Teléfono,18,687.11,2023-10-12
2654,Impresora,3,137.87,2023-07-18
2655,Mouse,12,28.15,2023-06-19
2656,Monitor,12,373.7,2023-01-03
2657,Mouse,9,28.25,2023-12-31
2658,Teclado,15,46.28,2023-10-01
2659,Teclado,8,30.44,2023-07-12
2660,Impresora,9,127.97,2023-08-04
2661,Mouse,20,17.2,2023-09-09
2662,Teclado,7,43.53,2023-12-06
2663,Mouse,17,12.07,2023-11-23
2664,Impresora,15,214.61,2023-10-29
2665,Tablet,5,431.69,2023-02-09
2666,Teléfono,20,398.04,2023-03-14
2667,Teléfono,5,356.03,2023-08-29
2668,Tablet,17,209.87,2023-06-30
2669,Impresora,9,201.39,2023-06-21
2670,Impresora,16,168.18,2023-05-04
2671,Tablet,8,335.24,2023-12-04
2672,Teclado,9,23.11,2023-07-18
2673,Teléfono,19,488.58,2023-12-04
2674,Laptop,11,1416.32,2023-08-18
2675,Tablet,13,484.74,2023-03-29
2676,Impresora,16,217.81,2023-10-16
2677,Teléfono,19,214.51,2023-01-11
2678,Laptop,7,821.87,2023-11-30
2679,Teclado,18,42.56,2023-07-18
2680,Laptop,15,973.64,2023-09-02
2681,Tablet,3,245.35,2023-05-01
2682,Impresora,14,146.32,2023-03-15
2683,Tablet,14,181.67,2023-10-19
2684,Impresora,10,133.87,2023-10-20
2685,Monitor,19,272.29,2023-08-12
2686,Laptop,7,1214.63,2023-05-11
2687,Mouse,16,21.87,2023-01-28
2688,Teclado,3,44.62,2023-06-04
2689,Tablet,2,273.74,2023-02-18
2690,Teclado,8,24.03,2023-07-11
2691,Monitor,10,346.43,2023-02-02
2692,Teclado,13,38.32,2023-03-03
2693,Tablet,19,154.63,2023-09-05
2694,Teclado,12,20.78,2023-06-22
2695,Monitor,17,243.14,2023-07-25
2696,Impresora,14,246.59,2023-08-04
2697,Monitor,8,364.11,2023-09-19
2698,Teclado,14,16.97,2023-12-03
2699,Monitor,5,376.24,2023-06-28
2700,Mouse,5,23.86,2023-02-12
2701,Mouse,10,22.65,2023-10-28
2702,Impresora,20,89.3,2023-01-12
2703,Teléfono,6,219.88,2023-08-21
2704,Impresora,16,191.35,2023-12-25
2705,Teclado,9,26.06,2023-05-09
2706,Teléfono,15,372.08,2023-12-31
2707,Impresora,19,226.95,2023-03-18
2708,Teléfono,3,691.64,2023-08-31
2709,Laptop,4,920.26,2023-12-26
2710,Tablet,2,486.87,2023-02-16
2711,Teléfono,19,598.07,2023-03-18
2712,Mouse,6,27.25,2023-05-08
2713,Laptop,13,1032.91,2023-12-20
2714,Mouse,11,22.14,2023-03-06
2715,Impresora,11,90.66,2023-04-03
2716,Mouse,2,25.12,2023-05-04
2717,Tablet,20,172.01,2023-04-28
2718,Impresora,12,94.17,2023-02-08
2719,Impresora,20,126.66,2023-03-01
2720,Mouse,10,25.95,2023-08-10
2721,Teclado,2,40.36,2023-09-20
2722,Monitor,18,273.21,2023-10-14
2723,Mouse,10,18.36,2023-03-23
2724,Mouse,18,28.16,2023-04-16
2725,Monitor,11,338.83,2023-01-18
2726,Teclado,20,36.19,2023-12-01
2727,Monitor,18,344.64,2023-03-19
2728,Monitor,3,259.39,2023-04-14
2729,Mouse,3,10.14,2023-09-27
2730,Teléfono,12,346.21,2023-02-10
2731,Mouse,13,24.33,2023-08-25
2732,Impresora,16,125.98,2023-05-20
2733,Monitor,9,218.92,2023-11-30
2734,Impresora,4,131.41,2023-05-31
2735,Laptop,14,761.88,2023-07-09
2736,Impresora,4,219.16,2023-02-09
2737,Monitor,2,239.18,2023-08-02
2738,Teclado,13,16.49,2023-03-05
2739,Tablet,2,275.38,2023-09-27
2740,Impresora,15,113.31,2023-08-18
2741,Impresora,6,202.51,2023-09-07
2742,Tablet,2,281.8,2023-07-04
2743,Teclado,9,22.13,2023-03-26
2744,Tablet,7,306.73,2023-09-19
2745,Monitor,16,175.1,2023-08-06
2746,Tablet,9,475.56,2023-04-13
2747,Laptop,5,1467.11,2023-11-29
2748,Monitor,11,374.97,2023-11-15
2749,Laptop,16,1121.62,2023-12-27
2750,Laptop,8,1235.57,2023-02-22
2751,Teléfono,10,795.44,2023-09-11
2752,Teclado,1,17.43,2023-06-02
2753,Mouse,5,26.75,2023-10-31
2754,Monitor,1,306.43,2023-10-30
2755,Laptop,9,1462.94,2023-01-05
2756,Impresora,18,209.67,2023-11-06
2757,Monitor,9,340.0,2023-03-11
2758,Laptop,18,1488.34,2023-07-28
2759,Mouse,13,15.11,2023-02-27
2760,Impresora,19,86.24,2023-10-09
2761,Mouse,17,20.71,2023-01-11
2762,Laptop,7,1058.06,2023-06-16
2763,Monitor,11,122.23,2023-07-22
2764,Mouse,5,21.28,2023-08-17
2765,Tablet,4,340.42,2023-05-13
2766,Laptop,7,959.38,2023-03-01
2767,Impresora,5,232.8,2023-11-26
2768,Monitor,17,193.25,2023-01-15
2769,Laptop,3,832.23,2023-12-18
2770,Teléfono,4,735.57,2023-06-24
2771,Impresora,17,241.05,2023-03-12
2772,Mouse,19,15.87,2023-04-30
2773,Laptop,5,1118.69,2023-01-01
2774,Laptop,4,1309.42,2023-05-26
2775,Laptop,11,931.36,2023-08-28
2776,Monitor,9,312.16,2023-10-19
2777,Mouse,19,12.11,2023-05-07
2778,Teléfono,8,501.32,2023-07-10
2779,Impresora,19,219.98,2023-11-29
2780,Teléfono,6,382.66,2023-05-18
2781,Impresora,8,200.43,2023-04-18
2782,Laptop,5,928.39,2023-04-03
2783,Mouse,2,18.27,2023-06-30
2784,Tablet,19,191.72,2023-06-07
2785,Laptop,3,1071.12,2023-07-28
2786,Laptop,11,756.08,2023-07-13
2787,Teclado,6,29.3,2023-06-10
2788,Tablet,16,448.59,2023-09-27
2789,Impresora,11,118.22,2023-02-19
2790,Teclado,2,38.87,2023-03-15
2791,Monitor,10,251.9,2023-06-09
2792,Impresora,11,169.95,2023-09-25
2793,Monitor,14,224.97,2023-10-01
2794,Teclado,20,37.26,2023-06-26
2795,Teclado,1,25.23,2023-02-12
2796,Mouse,6,18.78,2023-11-19
2797,Tablet,13,489.42,2023-03-05
2798,Mouse,3,13.15,2023-10-02
2799,Teléfono,5,291.62,2023-03-29
2800,Monitor,8,297.04,2023-03-30
2801,Teclado,19,30.25,2023-05-31
2802,Tablet,10,329.82,2023-07-04
2803,Teclado,10,35.12,2023-05-03
2804,Monitor,12,196.38,2023-04-06
2805,Tablet,11,457.02,2023-03-15
2806,Monitor,12,255.08,2023-10-27
2807,Mouse,4,21.69,2023-08-28
2808,Laptop,16,1210.88,2023-12-26
2809,Tablet,8,223.66,2023-09-19
2810,Tablet,3,411.23,2023-04-28
2811,Teléfono,6,441.56,2023-02-08
2812,Monitor,3,295.28,2023-03-16
2813,Tablet,12,303.79,2023-12-31
2814,Tablet,20,276.15,2023-12-20
2815,Teléfono,3,734.5,2023-05-15
2816,Mouse,2,11.17,2023-10-06
2817,Teclado,6,35.93,2023-07-09
2818,Laptop,19,837.2,2023-03-06
2819,Tablet,10,392.86,2023-04-19
2820,Monitor,13,310.23,2023-03-10
2821,Impresora,16,189.61,2023-08-10
2822,Laptop,12,902.43,2023-01-27
2823,Teclado,16,32.75,2023-03-05
2824,Tablet,6,300.22,2023-10-11
2825,Impresora,13,143.59,2023-03-07
2826,Teclado,1,31.49,2023-11-11
2827,Monitor,11,373.63,2023-02-08
2828,Impresora,10,174.96,2023-03-08
2829,Tablet,14,481.48,2023-11-03
2830,Tablet,11,347.6,2023-06-23
2831,Monitor,2,133.51,2023-10-09
2832,Tablet,7,417.96,2023-02-28
2833,Teclado,6,33.92,2023-04-11
2834,Tablet,13,243.1,2023-10-14
2835,Impresora,13,219.33,2023-11-09
2836,Monitor,10,333.3,2023-11-18
2837,Mouse,14,18.05,2023-08-07
2838,Tablet,3,233.82,2023-06-30
2839,Monitor,11,215.7,2023-08-31
2840,Laptop,5,1176.65,2023-05-02
2841,Monitor,18,206.39,2023-06-17
2842,Monitor,1,298.94,2023-10-13
2843,Monitor,11,173.16,2023-05-13
2844,Mouse,5,23.94,2023-05-13
2845,Impresora,9,98.25,2023-08-14
2846,Monitor,19,249.11,2023-09-23
2847,Teclado,10,34.55,2023-05-11
2848,Teléfono,6,551.73,2023-09-01
2849,Tablet,8,199.61,2023-07-12
2850,Teclado,10,44.5,2023-03-23
2851,Tablet,5,201.49,2023-02-28
2852,Teclado,5,40.91,2023-12-30
2853,Mouse,11,18.51,2023-04-22
2854,Tablet,9,181.9,2023-12-27
2855,Teclado,6,41.37,2023-07-03
2856,Monitor,16,347.0,2023-08-26
2857,Mouse,6,14.03,2023-04-24
2858,Monitor,20,342.53,2023-10-13
2859,Teclado,3,49.91,2023-07-09
2860,Tablet,12,167.3,2023-05-16
2861,Laptop,9,1481.52,2023-09-07
2862,Impresora,17,221.12,2023-03-08
2863,Laptop,17,802.37,2023-04-06
2864,Tablet,8,478.31,2023-02-23
2865,Impresora,7,183.53,2023-05-05
2866,Teclado,18,27.5,2023-06-19
2867,Impresora,10,116.23,2023-05-31
2868,Teléfono,4,247.25,2023-01-02
2869,Laptop,4,1224.89,2023-11-02
2870,Tablet,13,219.53,2023-11-06
2871,Teclado,12,21.94,2023-12-13
2872,Laptop,18,1119.96,2023-08-20
2873,Mouse,6,29.67,2023-05-09
2874,Teclado,9,23.61,2023-01-26
2875,Teléfono,7,535.26,2023-07-29
2876,Impresora,18,158.7,2023-06-21
2877,Tablet,5,225.77,2023-11-17
2878,Tablet,16,299.46,2023-06-09
2879,Laptop,19,1013.47,2023-08-29
2880,Monitor,4,279.02,2023-05-19
2881,Teléfono,12,353.19,2023-07-21
2882,Teclado,11,40.73,2023-04-25
2883,Teléfono,15,223.32,2023-05-23
2884,Teléfono,6,619.61,2023-06-16
2885,Mouse,3,19.04,2023-05-05
2886,Mouse,7,19.99,2023-06-10
2887,Laptop,3,886.72,2023-06-04
2888,Impresora,10,236.53,2023-07-03
2889,Monitor,4,157.73,2023-04-28
2890,Monitor,4,294.79,2023-11-07
2891,Teclado,1,30.48,2023-09-17
2892,Mouse,16,18.51,2023-02-09
2893,Teclado,17,17.13,2023-05-19
2894,Mouse,8,25.86,2023-05-04
2895,Laptop,9,1080.82,2023-04-12
2896,Teléfono,18,429.84,2023-11-17
2897,Teléfono,8,320.39,2023-01-15
2898,Teclado,2,42.23,2023-10-18
2899,Laptop,18,1427.62,2023-04-03
2900,Monitor,17,362.41,2023-01-14
2901,Teclado,12,19.23,2023-11-14
2902,Tablet,18,390.39,2023-07-09
2903,Impresora,13,202.61,2023-04-28
2904,Impresora,2,174.08,2023-12-05
2905,Monitor,1,378.94,2023-10-25
2906,Monitor,3,337.94,2023-03-18
2907,Impresora,10,121.76,2023-10-16
2908,Teclado,15,18.92,2023-03-27
2909,Teléfono,14,215.84,2023-10-24
2910,Teclado,2,23.86,2023-02-24
2911,Laptop,6,886.45,2023-01-07
2912,Tablet,9,440.96,2023-05-28
2913,Mouse,4,18.39,2023-09-26
2914,Tablet,20,317.22,2023-07-22
2915,Teléfono,4,578.88,2023-11-10
2916,Laptop,20,1315.18,2023-01-19
2917,Impresora,5,87.92,2023-11-30
2918,Mouse,7,19.29,2023-09-26
2919,Mouse,5,14.14,2023-11-08
2920,Mouse,2,18.03,2023-08-16
2921,Impresora,7,196.05,2023-10-25
2922,Teléfono,18,387.68,2023-08-04
2923,Teléfono,19,422.66,2023-06-25
2924,Tablet,11,454.97,2023-10-27
2925,Teclado,19,33.16,2023-10-22
2926,Monitor,14,157.66,2023-10-18
2927,Monitor,20,233.78,2023-11-18
2928,Teléfono,15,736.55,2023-03-26
2929,Teléfono,4,641.56,2023-02-04
2930,Mouse,17,13.86,2023-12-16
2931,Mouse,13,12.37,2023-11-01
2932,Laptop,2,1159.96,2023-02-25
2933,Teclado,9,38.08,2023-06-09
2934,Tablet,15,229.24,2023-06-17
2935,Monitor,13,144.18,2023-10-03
2936,Impresora,12,192.46,2023-03-01
2937,Teclado,8,34.63,2023-11-14
2938,Monitor,9,339.18,2023-06-24
2939,Tablet,4,152.68,2023-12-09
2940,Teléfono,3,707.14,2023-05-27
2941,Teléfono,15,623.67,2023-06-04
2942,Monitor,8,235.42,2023-12-31
2943,Monitor,6,104.23,2023-03-03
2944,Monitor,10,151.08,2023-01-15
2945,Laptop,8,1137.68,2023-05-03
2946,Laptop,2,819.24,2023-09-27
2947,Tablet,15,491.77,2023-09-29
2948,Teclado,15,37.68,2023-07-09
2949,Teléfono,6,524.7,2023-07-06
2950,Laptop,13,1003.99,2023-10-19
2951,Mouse,9,26.23,2023-01-17
2952,Impresora,12,130.34,2023-08-08
2953,Laptop,13,1461.21,2023-07-08
2954,Laptop,17,1477.32,2023-07-31
2955,Teléfono,19,386.12,2023-10-28
2956,Teléfono,10,301.28,2023-09-10
2957,Tablet,1,177.99,2023-02-19
2958,Monitor,7,274.51,2023-10-21
2959,Monitor,19,230.05,2023-03-10
2960,Impresora,8,230.92,2023-04-23
2961,Mouse,12,24.45,2023-10-23
2962,Impresora,13,207.28,2023-09-13
2963,Laptop,14,909.31,2023-10-13
2964,Impresora,19,138.82,2023-03-31
2965,Teclado,9,23.8,2023-04-28
2966,Mouse,1,15.84,2023-01-30
2967,Impresora,11,116.91,2023-05-02
2968,Teclado,17,17.11,2023-04-14
2969,Impresora,10,169.73,2023-05-23
2970,Mouse,18,28.48,2023-04-04
2971,Monitor,2,245.77,2023-08-13
2972,Monitor,12,349.73,2023-10-09
2973,Monitor,7,350.95,2023-02-22
2974,Laptop,15,886.94,2023-03-24
2975,Impresora,7,112.59,2023-04-18
2976,Mouse,4,17.95,2023-06-12
2977,Monitor,16,177.86,2023-09-16
2978,Monitor,15,150.63,2023-03-05
2979,Impresora,9,104.73,2023-06-03
2980,Tablet,9,357.0,2023-01-29
2981,Mouse,6,24.6,2023-01-11
2982,Teléfono,12,377.33,2023-05-02
2983,Monitor,14,373.99,2023-04-18
2984,Tablet,16,212.7,2023-04-28
2985,Mouse,2,21.52,2023-03-12
2986,Impresora,12,203.77,2023-03-03
2987,Monitor,11,340.76,2023-05-08
2988,Impresora,17,102.49,2023-10-25
2989,Impresora,12,134.69,2023-08-23
2990,Monitor,10,219.53,2023-08-06
2991,Monitor,3,232.92,2023-09-08
2992,Monitor,2,262.18,2023-02-13
2993,Teclado,12,48.82,2023-07-03
2994,Tablet,1,180.65,2023-09-16
2995,Monitor,10,165.52,2023-04-10
2996,Monitor,4,157.94,2023-12-22
2997,Monitor,20,201.76,2023-07-24
2998,Impresora,18,147.58,2023-10-18
2999,Teclado,4,15.83,2023-02-09
3000,Tablet,4,299.78,2023-06-25
3001,Impresora,14,170.84,2023-11-12
3002,Laptop,16,770.25,2023-03-15
3003,Teléfono,10,788.45,2023-07-20
3004,Monitor,7,295.66,2023-01-13
3005,Impresora,10,207.56,2023-09-21
3006,Laptop,12,1499.78,2023-07-08
3007,Laptop,14,1443.14,2023-01-28
3008,Impresora,12,151.04,2023-06-09
3009,Mouse,1,11.08,2023-10-26
3010,Teclado,5,26.37,2023-11-20
3011,Teléfono,7,535.55,2023-05-03
3012,Laptop,6,1227.47,2023-04-24
3013,Tablet,17,175.53,2023-07-06
3014,Impresora,6,235.24,2023-04-14
3015,Teclado,2,34.84,2023-04-03
3016,Teclado,11,37.21,2023-06-05
3017,Mouse,15,16.56,2023-05-28
3018,Teléfono,11,792.74,2023-09-15
3019,Impresora,18,124.62,2023-07-16
3020,Laptop,16,1175.41,2023-11-27
3021,Impresora,10,205.02,2023-09-09
3022,Monitor,9,290.28,2023-08-24
3023,Mouse,9,12.44,2023-09-02
3024,Mouse,11,26.89,2023-02-17
3025,Mouse,16,12.05,2023-11-20
3026,Teléfono,11,402.15,2023-07-14
3027,Monitor,18,258.15,2023-10-20
3028,Mouse,9,28.33,2023-07-19
3029,Monitor,15,318.4,2023-08-19
3030,Teclado,10,33.63,2023-09-05
3031,Teléfono,3,485.45,2023-01-28
3032,Laptop,5,1292.73,2023-10-10
3033,Teléfono,20,711.53,2023-05-16
3034,Laptop,9,1266.79,2023-07-26
3035,Mouse,6,20.99,2023-04-22
3036,Tablet,9,209.6,2023-05-02
3037,Teclado,2,28.78,2023-01-31
3038,Impresora,19,150.67,2023-11-20
3039,Teclado,12,41.71,2023-07-25
3040,Tablet,4,483.32,2023-08-23
3041,Laptop,5,1056.49,2023-05-08
3042,Teléfono,8,485.53,2023-03-16
3043,Laptop,3,1163.91,2023-12-01
3044,Laptop,11,704.18,2023-02-04
3045,Impresora,9,214.67,2023-06-30
3046,Mouse,5,26.98,2023-02-21
3047,Teléfono,4,467.42,2023-09-05
3048,Impresora,9,146.4,2023-04-30
3049,Teclado,12,17.96,2023-01-12
3050,Teclado,15,37.76,2023-05-21
3051,Laptop,18,1280.53,2023-10-21
3052,Laptop,9,1359.08,2023-02-20
3053,Tablet,18,182.17,2023-08-12
3054,Tablet,7,488.21,2023-06-16
3055,Laptop,4,840.68,2023-07-22
3056,Tablet,12,315.54,2023-07-26
3057,Teléfono,14,479.04,2023-04-16
3058,Mouse,2,11.6,2023-07-25
3059,Impresora,7,88.23,2023-07-05
3060,Teclado,11,16.17,2023-05-30
3061,Mouse,1,22.49,2023-01-01
3062,Tablet,13,466.43,2023-12-02
3063,Impresora,5,200.22,2023-12-10
3064,Tablet,8,222.11,2023-02-27
3065,Teclado,5,49.05,2023-12-08
3066,Mouse,19,21.97,2023-06-01
3067,Monitor,9,196.68,2023-09-01
3068,Mouse,9,27.65,2023-01-01
3069,Impresora,9,177.85,2023-01-22
3070,Teclado,10,17.2,2023-12-09
3071,Impresora,18,110.76,2023-03-09
3072,Laptop,17,1131.24,2023-10-18
3073,Mouse,6,17.64,2023-12-11
3074,Impresora,6,175.38,2023-08-23
3075,Impresora,6,244.22,2023-10-27
3076,Monitor,15,171.56,2023-06-26
3077,Teléfono,11,229.66,2023-04-25
3078,Teléfono,1,339.65,2023-09-16
3079,Laptop,14,1140.58,2023-01-14
3080,Teléfono,13,326.42,2023-06-04
3081,Mouse,19,24.36,2023-05-29
3082,Mouse,16,20.74,2023-01-03
3083,Mouse,11,16.53,2023-03-31
3084,Teléfono,11,278.82,2023-05-31
3085,Tablet,8,248.86,2023-12-08
3086,Teléfono,14,383.9,2023-03-23
3087,Laptop,1,710.57,2023-04-05
3088,Teléfono,6,449.57,2023-10-12
3089,Impresora,2,215.33,2023-11-04
3090,Tablet,7,473.37,2023-04-03
3091,Teléfono,9,436.65,2023-07-29
3092,Impresora,8,137.16,2023-06-21
3093,Laptop,8,882.0,2023-10-28
3094,Laptop,11,1210.55,2023-03-25
3095,Mouse,9,28.18,2023-06-16
3096,Impresora,16,236.6,2023-06-17
3097,Impresora,2,248.86,2023-12-27
3098,Monitor,18,254.69,2023-11-23
3099,Tablet,6,217.52,2023-03-11
3100,Mouse,13,22.86,2023-03-23
3101,Laptop,20,1473.92,2023-11-05
3102,Teclado,9,39.71,2023-03-27
3103,Teléfono,5,494.15,2023-11-29
3104,Laptop,11,1322.09,2023-06-24
3105,Impresora,12,224.47,2023-03-26
3106,Teléfono,16,394.86,2023-11-28
3107,Teléfono,6,558.04,2023-10-18
